指标名称,指标值
espressif_esp-idf,6.95
ethereum_ethereum-org-website,2.89
Expensify_App,5.59
expo_expo,7.08
facebook_react,9.88
facebook_react-native,8.69
filecoin-project_filecoin-plus-large-datasets,3.6
files-community_Files,6.62
firebase_firebase-android-sdk,3.94
firebase_flutterfire,4.5
firstcontributions_first-contributions,7.93
flathub_flathub,4.69
flutter_engine,5.27
flutter_flutter,10.0
flutter_plugins,5.03
flybywiresim_a32nx,7.13
freddier_hyperblog,6.42
gatsbyjs_gatsby,7.2
gentoo_gentoo,9.95
getsentry_sentry,5.47
github_codeql,4.82
github_docs,8.79
gitpod-io_gitpod,5.47
go-gitea_gitea,9.24
godotengine_godot,9.2
golang_go,8.28
google-test_signclav2-probe-repo,10.0
google_it-cert-automation-practice,10.0
GoogleChrome_developer.chrome.com,4.39
gradle_gradle,7.14
grafana_grafana,6.82
grafana_loki,5.28
gravitational_teleport,4.37
grpc_grpc,5.96
hashicorp_terraform-provider-aws,4.16
hashicorp_terraform-provider-azurerm,3.97
hashicorp_vault,4.87
helium_denylist,3.54
helix-editor_helix,6.53
home-assistant_core,9.97
home-assistant_frontend,4.78
home-assistant_home-assistant.io,5.06
Homebrew_homebrew-cask,5.66
Homebrew_homebrew-core,9.25
huggingface_transformers,7.82
idsb3t1_KEEP-pipeline-tests-resources,3.2
influxdata_telegraf,4.66
IntelRealSense_librealsense,5.41
istio_istio,7.69
JacksonKearl_testissues,4.72
JetBrains_swot,2.87
jitsi_jitsi-meet,5.86
jlord_patchwork,6.05
joomla_joomla-cms,7.25
JuliaLang_julia,9.16
JuliaRegistries_General,8.8
Kaiserreich_Kaiserreich-4,4.73
keycloak_keycloak,5.13
Koenkk_zigbee2mqtt,6.5
kubernetes_kubernetes,10.0
kubernetes_minikube,4.49
kubernetes_test-infra,5.54
kubernetes_website,7.1
kubevirt_kubevirt,5.63
laravel_framework,5.82
leanprover-community_mathlib,8.07
LeetCode-Feedback_LeetCode-Feedback,2.17
lensapp_lens,4.55
Lightning-AI_lightning,7.58
llvm_llvm-project,10.0
logseq_logseq,6.71
macports_macports-ports,7.73
magento_magento2,6.25
MarlinFirmware_Marlin,7.72
mastodon_mastodon,6.85
matplotlib_matplotlib,7.09
matrix-org_synapse,4.13
mattermost_mattermost-webapp,5.57
mdn_content,8.48
mdn_translated-content,6.43
metabase_metabase,5.92
MetaMask_eth-phishing-detect,3.03
MetaMask_metamask-extension,5.01
metersphere_metersphere,4.07
microsoft_azuredatastudio,4.55
microsoft_fluentui,5.38
microsoft_onnxruntime,6.44
microsoft_playwright,7.61
microsoft_PowerToys,7.97
microsoft_terminal,5.81
microsoft_TypeScript,7.28
microsoft_vcpkg,6.47
microsoft_vscode,8.81
microsoft_vscode-jupyter,4.05
microsoft_winget-pkgs,6.15
microsoft_WSL,6.29
MicrosoftDocs_azure-docs,6.81
MicrosoftDocs_microsoft-365-docs,4.8
MicrosoftDocs_msteams-docs,3.96
microsoftgraph_microsoft-graph-docs,4.8
mlflow_mlflow,5.52
mozilla-mobile_fenix,7.07
mrdoob_three.js,8.63
mui_material-ui,6.51
mui_mui-x,3.35
neovim_neovim,8.18
newrelic_docs-website,5.12
nextcloud_desktop,4.38
nextcloud_server,6.24
NixOS_nixpkgs,10.0
nodejs_node,9.54
nrfconnect_sdk-nrf,4.19
nrwl_nx,5.18
nuxt_framework,5.07
o3de_o3de,5.68
obsproject_obs-studio,7.25
odoo_odoo,5.88
open-mmlab_mmdetection,5.26
open-telemetry_opentelemetry-collector-contrib,2.24
OpenAPITools_openapi-generator,6.67
opencv_opencv,7.83
openhab_openhab-addons,5.01
openjdk_jdk,8.12
openjournals_joss-reviews,4.96
openshift_openshift-docs,4.76
openshift_release,6.83
openssl_openssl,6.67
openvinotoolkit_openvino,5.41
openwrt_openwrt,6.15
oppia_oppia,7.09
PaddlePaddle_Paddle,4.61
PaddlePaddle_PaddleOCR,3.4
pandas-dev_pandas,7.19
php_php-src,6.52
pingcap_tidb,5.87
PixelExperience_android-issues,4.37
postmanlabs_postman-app-support,4.68
PowerShell_PowerShell,5.85
ppy_osu,6.05
PrestaShop_PrestaShop,4.15
prisma_prisma,5.98
project-chip_connectedhomeip,6.79
prusa3d_PrusaSlicer,4.96
python_cpython,9.2
pytorch_pytorch,7.96
qbittorrent_qBittorrent,6.92
qgis_QGIS,6.42
qmk_qmk-firmware,5.95
quarkusio_quarkus,7.07
rails_rails,8.42
rancher_rancher,6.21
rapid7_metasploit-framework,6.0
ray-project_ray,7.8
raycast_extensions,6.35
redis_redis,6.68
Regalis11_Barotrauma,4.01
remix-run_remix,6.65
renovatebot_renovate,6.59
RocketChat_Rocket.Chat,6.36
RPCS3_rpcs3,6.49
rstudio_rstudio,4.4
ruffle-rs_ruffle,5.06
rust-lang_rust,10.0
scikit-learn_scikit-learn,7.5
scipy_scipy,7.11
section-engineering-education_engineering-education,4.91
SerenityOS_serenity,7.28
ShadowMario_FNF-PsychEngine,5.76
Skyrat-SS13_Skyrat-tg,5.13
solana-labs_solana,7.2
solana-labs_token-list,10.0
sourcegraph_sourcegraph,7.38
spack_spack,5.82
spyder-ide_spyder,5.16
storybookjs_storybook,7.96
strapi_strapi,6.2
sveltejs_kit,6.82
symfony_symfony,6.55
systemd_systemd,6.38
tachiyomiorg_tachiyomi,4.8
tachiyomiorg_tachiyomi-extensions,4.92
tailscale_tailscale,5.32
taosdata_TDengine,4.73
taozhiyu_TyProAction,5.59
TeamNewPipe_NewPipe,6.48
tensorflow_tensorflow,9.67
termux_termux-packages,5.6
tgstation_tgstation,8.79
TP-Lab_tokens,3.69
trinodb_trino,6.45
trustwallet_assets,7.05
type-challenges_type-challenges,6.93
uBlockOrigin_uAssets,6.97
Ultimaker_Cura,4.7
ultralytics_yolov5,8.25
unifyai_ivy,8.41
ValveSoftware_Dota2-Gameplay,6.31
ValveSoftware_Proton,8.54
vectordotdev_vector,5.62
vercel_next.js,9.29
vitejs_vite,9.38
void-linux_void-packages,7.13
webcompat_web-bugs,5.32
wjz304_Redpill-CustomBuild,8.27
woocommerce_woocommerce,5.32
WordPress_gutenberg,8.09
xamarin_xamarin-macios,5.85
xbmc_xbmc,7.37
yt-dlp_yt-dlp,8.03
yuzu-emu_yuzu,6.16
zephyrproject-rtos_zephyr,7.01
zero-to-mastery_start-here-guidelines,5.66
ziglang_zig,7.97
zulip_zulip,5.98
