指标名称,指标值
oppia_oppia,3096.0
PaddlePaddle_Paddle,3732.0
PaddlePaddle_PaddleOCR,677.0
pandas-dev_pandas,5485.0
php_php-src,3381.0
pingcap_tidb,4609.0
PixelExperience_android-issues,3.0
postmanlabs_postman-app-support,60.0
PowerShell_PowerShell,1671.0
ppy_osu,1613.0
PrestaShop_PrestaShop,3765.0
prisma_prisma,783.0
project-chip_connectedhomeip,2355.0
prusa3d_PrusaSlicer,849.0
python_cpython,6240.0
pytorch_pytorch,16000.0
qbittorrent_qBittorrent,1155.0
qgis_QGIS,4123.0
qmk_qmk-firmware,7503.0
quarkusio_quarkus,3620.0
rails_rails,8045.0
rancher_rancher,2056.0
rapid7_metasploit-framework,3673.0
ray-project_ray,3390.0
raycast_extensions,1586.0
redis_redis,1700.0
Regalis11_Barotrauma,247.0
remix-run_remix,1061.0
renovatebot_renovate,2001.0
RocketChat_Rocket.Chat,4231.0
RPCS3_rpcs3,1367.0
rstudio_rstudio,1366.0
ruffle-rs_ruffle,553.0
rust-lang_rust,14712.0
scikit-learn_scikit-learn,4787.0
scipy_scipy,3385.0
section-engineering-education_engineering-education,2154.0
SerenityOS_serenity,2756.0
ShadowMario_FNF-PsychEngine,102.0
Skyrat-SS13_Skyrat-tg,1368.0
solana-labs_solana,2103.0
solana-labs_token-list,9433.0
sourcegraph_sourcegraph,3618.0
spack_spack,8377.0
spyder-ide_spyder,1033.0
storybookjs_storybook,3972.0
strapi_strapi,2679.0
sveltejs_kit,893.0
symfony_symfony,6365.0
systemd_systemd,4532.0
tachiyomiorg_tachiyomi,655.0
tachiyomiorg_tachiyomi-extensions,1379.0
tailscale_tailscale,752.0
taosdata_TDengine,1954.0
taozhiyu_TyProAction,7.0
TeamNewPipe_NewPipe,2327.0
tensorflow_tensorflow,16806.0
termux_termux-packages,1641.0
tgstation_tgstation,7834.0
TP-Lab_tokens,3637.0
trinodb_trino,2199.0
trustwallet_assets,4964.0
type-challenges_type-challenges,402.0
uBlockOrigin_uAssets,778.0
Ultimaker_Cura,1998.0
ultralytics_yolov5,567.0
unifyai_ivy,1544.0
ValveSoftware_Dota2-Gameplay,5.0
ValveSoftware_Proton,288.0
vectordotdev_vector,1429.0
vercel_next.js,5156.0
vitejs_vite,1558.0
void-linux_void-packages,6031.0
webcompat_web-bugs,24.0
wjz304_Redpill-CustomBuild,17.0
woocommerce_woocommerce,4577.0
WordPress_gutenberg,10273.0
xamarin_xamarin-macios,1418.0
xbmc_xbmc,4139.0
yt-dlp_yt-dlp,850.0
yuzu-emu_yuzu,1221.0
zephyrproject-rtos_zephyr,9485.0
zero-to-mastery_start-here-guidelines,14623.0
ziglang_zig,2501.0
zulip_zulip,3308.0
