指标名称,指标值
firebase_flutterfire,2.07
firstcontributions_first-contributions,4.67
flathub_flathub,2.12
flutter_engine,10.0
flutter_flutter,1.6
flutter_plugins,5.19
flybywiresim_a32nx,3.62
freddier_hyperblog,0.64
gatsbyjs_gatsby,3.2
gentoo_gentoo,10.0
getsentry_sentry,9.02
github_codeql,10.0
github_docs,4.21
gitpod-io_gitpod,4.99
go-gitea_gitea,3.05
godotengine_godot,2.82
golang_go,2.33
google-test_signclav2-probe-repo,2.75
google_it-cert-automation-practice,1.17
GoogleChrome_developer.chrome.com,8.16
gradle_gradle,4.95
grafana_grafana,2.83
grafana_loki,3.91
gravitational_teleport,9.07
grpc_grpc,5.49
hashicorp_terraform-provider-aws,1.5
hashicorp_terraform-provider-azurerm,2.16
hashicorp_vault,6.11
helium_denylist,1.6
helix-editor_helix,6.19
home-assistant_core,2.23
home-assistant_frontend,2.38
home-assistant_home-assistant.io,4.65
Homebrew_homebrew-cask,6.1
Homebrew_homebrew-core,6.46
huggingface_transformers,2.55
idsb3t1_KEEP-pipeline-tests-resources,5.89
influxdata_telegraf,2.62
IntelRealSense_librealsense,1.82
istio_istio,4.93
JacksonKearl_testissues,2.99
JetBrains_swot,4.35
jitsi_jitsi-meet,1.98
jlord_patchwork,4.03
joomla_joomla-cms,4.61
JuliaLang_julia,7.29
JuliaRegistries_General,6.38
Kaiserreich_Kaiserreich-4,1.61
keycloak_keycloak,4.33
Koenkk_zigbee2mqtt,1.38
kubernetes_kubernetes,5.26
kubernetes_minikube,1.84
kubernetes_test-infra,9.19
kubernetes_website,6.28
kubevirt_kubevirt,7.17
laravel_framework,2.35
leanprover-community_mathlib,10.0
LeetCode-Feedback_LeetCode-Feedback,1.21
lensapp_lens,3.12
Lightning-AI_lightning,6.49
llvm_llvm-project,5.24
logseq_logseq,2.12
macports_macports-ports,10.0
magento_magento2,2.26
MarlinFirmware_Marlin,2.0
mastodon_mastodon,1.96
matplotlib_matplotlib,4.09
matrix-org_synapse,6.51
mattermost_mattermost-webapp,10.0
mdn_content,4.27
mdn_translated-content,7.53
metabase_metabase,3.41
MetaMask_eth-phishing-detect,0.99
MetaMask_metamask-extension,4.65
metersphere_metersphere,3.0
microsoft_azuredatastudio,6.01
microsoft_fluentui,5.66
microsoft_onnxruntime,10.0
microsoft_playwright,2.44
microsoft_PowerToys,1.64
microsoft_terminal,1.32
microsoft_TypeScript,1.6
microsoft_vcpkg,3.45
microsoft_vscode,0.92
microsoft_vscode-jupyter,1.96
microsoft_winget-pkgs,10.0
microsoft_WSL,1.71
MicrosoftDocs_azure-docs,2.2
MicrosoftDocs_microsoft-365-docs,3.64
MicrosoftDocs_msteams-docs,4.18
microsoftgraph_microsoft-graph-docs,5.68
mlflow_mlflow,4.54
mozilla-mobile_fenix,3.76
mrdoob_three.js,3.11
mui_material-ui,2.74
mui_mui-x,4.57
neovim_neovim,2.79
newrelic_docs-website,9.78
nextcloud_desktop,2.03
nextcloud_server,2.11
NixOS_nixpkgs,8.14
nodejs_node,1.79
nrfconnect_sdk-nrf,8.97
nrwl_nx,1.83
nuxt_framework,2.54
o3de_o3de,8.83
obsproject_obs-studio,3.3
odoo_odoo,6.67
open-mmlab_mmdetection,2.0
open-telemetry_opentelemetry-collector-contrib,6.79
OpenAPITools_openapi-generator,3.3
opencv_opencv,3.25
openhab_openhab-addons,4.54
openjdk_jdk,8.54
openjournals_joss-reviews,1.75
