Ö¸±êÃû³Æ,activity,time,request,death,size,feedback,issue,quality,act_final,health,stars,month,contributor,fork
ray-project_ray,7.15,7.8,6.99,1.54,3,10,6.84,8.25,7.11,7.98,27132,78,3390,5242
raycast_extensions,4.65,6.35,7.66,0,3,4.65,6.18,4.89,6.22,5.5,3386,18,1586,1831
redis_redis,2.33,6.68,2.91,0,3,10,6.91,6.59,3.97,6.55,55790,99,1700,18477
Regalis11_Barotrauma,2.15,4.01,4,2.14,3,3.82,8.73,2.24,3.1,4.11,1370,70,247,505
remix-run_remix,3.31,6.65,4.8,0,3,10,6.37,3.94,4.92,5.93,23229,17,1061,2295
renovatebot_renovate,4.7,6.59,8.94,1.47,3,6.27,6.84,5.97,6.55,6.38,12165,75,2001,1972
RocketChat_Rocket.Chat,2.22,6.36,5.07,0.11,3,8.27,7.41,4.81,4.54,5.94,39806,95,4231,11808
RPCS3_rpcs3,2.42,6.49,8.59,1.11,3,5.8,6.43,5.22,5.69,5.72,12776,99,1367,3814
rstudio_rstudio,1.87,4.4,9.47,3.33,3,7.73,7.09,4.91,4.8,5.88,3855,99,1366,1249
ruffle-rs_ruffle,1.54,5.06,8.98,3.48,3,10,8.35,3.03,4.73,6,12989,46,553,809
rust-lang_rust,5.47,10,6.98,0,4,5.42,6.48,6.26,7.48,6.5,83278,99,14712,13971
scikit-learn_scikit-learn,4.74,7.5,4.72,0,3,10,6.15,10,5.65,7.93,55800,99,4787,28948
scipy_scipy,4.27,7.11,5.8,0,3,4.98,6.64,9.03,5.73,6.75,10941,99,3385,6520
section-engineering-education_engineering-education,6.85,4.91,6.36,4.55,3,10,5.68,7.69,5.43,7.07,552,44,2154,1376
SerenityOS_serenity,9.43,7.28,8.69,0.38,3,10,6.68,5.82,8.42,7.61,27842,52,2756,3899
ShadowMario_FNF-PsychEngine,1.93,5.76,3.32,0.95,3,4.75,5.23,2.3,3.54,3.75,979,21,102,2306
Skyrat-SS13_Skyrat-tg,9.44,5.13,8.32,0.61,3,2.08,6.41,3.99,7.55,5.16,135,33,1368,844
solana-labs_solana,10,7.2,7.16,2.58,3,8.11,6.79,4.89,7.78,6.78,11276,62,2103,3211
solana-labs_token-list,6.33,10,3.96,6.43,4,10,5.34,2.34,5.91,5.54,1644,28,9433,25523
sourcegraph_sourcegraph,10,7.38,6.7,1.45,3,10,7.96,5.26,7.83,7.52,13559,69,3618,1579
spack_spack,9.74,5.82,4.98,1.41,3,2.74,6.71,5.74,6.66,5.61,3540,99,8377,2625
spyder-ide_spyder,1.38,5.16,7.04,0.1,3,3.45,6.75,6.17,4.51,5.24,8668,98,1033,2109
storybookjs_storybook,1.88,7.96,6.08,0.47,3,10,6.87,4.17,5.24,6.2,83616,85,3972,10691
strapi_strapi,1.98,6.2,7.17,3.08,3,10,6.55,4.89,4.71,6.19,56816,91,2679,8896
sveltejs_kit,2.58,6.82,9,0,3,7.27,6.18,4.7,6.13,5.94,14363,25,893,1697
symfony_symfony,3.21,6.55,5.88,0,3,4.2,6.39,6.38,5.21,5.6,23679,99,6365,10907
systemd_systemd,3.07,6.38,6.57,0.31,3,3.53,6.68,6.56,5.3,5.6,12254,97,4532,4644
tachiyomiorg_tachiyomi,1.21,4.8,6.72,0,3,9.69,7.89,4.6,4.24,6.17,23616,75,655,3102
tachiyomiorg_tachiyomi-extensions,1.87,4.92,8.81,2.27,3,3.31,8.54,3.8,4.9,4.98,2833,75,1379,1857
tailscale_tailscale,3.97,5.32,9.31,0,3,9.47,7.08,6.94,6.2,7.25,11461,38,752,873
taosdata_TDengine,7.94,4.73,9.91,0,3,10,7.08,3.21,7.53,6.64,22529,45,1954,5198
taozhiyu_TyProAction,1.4,5.59,4.44,2,4,10,7.89,0.58,3.54,4.81,844,5,7,252
TeamNewPipe_NewPipe,2.24,6.48,6.48,2.09,3,7.49,6.78,5.96,4.79,6.08,26354,91,2327,3745
tensorflow_tensorflow,2.26,9.67,4.94,0,4,10,6.28,5.33,5.62,6.54,202349,89,16806,107854
termux_termux-packages,1.92,5.6,7.09,0.43,3,5.43,7.14,3.34,4.81,4.96,11692,94,1641,3773
tgstation_tgstation,6.23,8.79,8.12,0,3,2.12,6.54,4.7,7.71,5.46,1834,99,7834,6612
TP-Lab_tokens,4.1,3.69,6.89,0,3,5.92,2.93,3.2,4.89,4.2,391,23,3637,7293
trinodb_trino,8.45,6.45,5.19,0.2,3,5.68,6.78,10,6.67,7.49,7857,51,2199,2622
trustwallet_assets,2.97,7.05,5.63,0.91,4,9.44,2.76,2.26,5.1,4.65,4358,44,4964,22344
type-challenges_type-challenges,2.45,6.93,8.53,0.32,3,10,10,3.65,5.93,6.87,32275,31,402,3710
uBlockOrigin_uAssets,2.06,6.97,8.04,0.95,3,2.71,4.65,2.32,5.56,3.84,2753,84,778,969
Ultimaker_Cura,1.82,4.7,5.58,0.95,3,2.54,5.87,5.56,3.91,4.52,5099,95,1998,2282
ultralytics_yolov5,1.34,8.25,6.73,0.29,3,10,7.02,3.03,5.4,5.93,39168,35,567,15268
unifyai_ivy,4.64,8.41,4.62,1.11,3,10,7.55,1.9,5.74,5.8,10740,27,1544,6250
ValveSoftware_Dota2-Gameplay,1.34,6.31,2.15,0,4,2.39,8.48,0.3,3.27,3.24,1015,10,5,42
ValveSoftware_Proton,1.67,8.54,4.04,0,3,3.04,6.02,2.29,4.75,3.92,20828,56,288,1098
vectordotdev_vector,10,5.62,7.47,0,3,10,7.1,7,7.7,7.83,13448,45,1429,1205
vercel_next.js,1.31,9.29,6.2,0,4,10,6.74,4.39,5.6,6.34,114509,78,5156,33756
vitejs_vite,1.71,9.38,5.29,0.28,3,10,6.94,4.78,5.42,6.45,56732,36,1558,6053
void-linux_void-packages,7.67,7.13,4.55,0,3,2.74,6.51,3.35,6.45,4.79,2321,58,6031,3421
webcompat_web-bugs,1.61,5.32,6.59,0.1,3,2.7,8.81,0.28,4.49,3.73,661,99,24,181
wjz304_Redpill-CustomBuild,1.77,8.27,7.3,1.11,4,3.68,7.68,0.42,5.63,4.09,1003,9,17,575
woocommerce_woocommerce,1.9,5.32,5.78,0,3,4.13,6.43,4.14,4.33,4.65,8021,99,4577,12775
WordPress_gutenberg,8.39,8.09,4.67,0.54,3,2.88,6.75,7.37,6.98,6.23,9598,74,10273,4523
xamarin_xamarin-macios,6.87,5.85,9.8,0.95,3,5.55,6.4,4.6,7.38,5.98,2587,84,1418,614
xbmc_xbmc,6.72,7.37,6.59,0,3,6.34,5.24,5.15,6.89,5.93,14189,99,4139,6107
yt-dlp_yt-dlp,2.62,8.03,5.73,0.33,3,10,6.22,9.76,5.42,7.8,46139,30,850,5072
yuzu-emu_yuzu,4.43,6.16,7.09,0.16,3,10,7.05,5.26,5.87,6.75,26465,63,1221,3619
zephyrproject-rtos_zephyr,7.41,7.01,5.53,0.48,3,6.99,6.6,8.35,6.59,7.2,8143,83,9485,5814
zero-to-mastery_start-here-guidelines,4.69,5.66,7.85,0.32,3,6.66,2.92,2.63,6.02,4.51,2342,63,14623,20135
ziglang_zig,4.53,7.97,7.07,3.11,3,10,7.68,4.68,6.11,6.77,22513,90,2501,2208
zulip_zulip,6.44,5.98,4.21,0,3,9.26,5.71,5.51,5.54,6.31,19342,91,3308,8536
