Ö¸±êÃû³Æ,activity,time,request,death,size,feedback,issue,quality,act_final,health,stars,month,contributor,fork
ceph_ceph,10,7.51,4.56,0,3,4.73,0,5.95,7.36,4.94,12551,99,11314,6573
Chia-Network_chia-blockchain,1.74,9.1,7,9,4,5.13,6.12,4.64,4.75,5.07,12942,40,1272,2405
cilium_cilium,10,6.85,6.95,2.12,3,10,6.84,6.74,7.65,7.68,15321,80,3107,2544
CleverRaven_Cataclysm-DDA,6.39,8.27,6.11,0,3,3.39,6.92,4.57,6.92,5.51,9153,99,6855,5420
ClickHouse_ClickHouse,5.53,6.91,6.75,0.98,3,8.9,7.22,4.38,6.27,6.42,30104,82,5624,6734
cloudflare_cloudflare-docs,9.46,4.12,7.36,0.32,3,5.79,7.19,5.21,6.94,6.24,1943,31,2512,2478
cms-sw_cmssw,10,6.79,8.31,0,3,1.97,3.34,5.64,8.37,5.26,934,99,9752,3558
cockroachdb_cockroach,10,6.24,7.84,0.2,3,10,6.87,4.46,8,7.11,26914,99,6142,4151
conan-io_conan-center-index,7.55,6.99,7.68,0,3,2.22,6.38,6.92,7.41,6.02,764,43,2528,1653
conda-forge_staged-recipes,8.03,6.54,7.46,0.66,3,2.39,5.66,6.63,7.26,5.78,689,91,9126,5640
containers_podman,4.69,5.64,8.82,0.92,3,5.4,4.92,6.3,6.26,5.83,18436,65,1959,2389
coolsnowwolf_lede,1.16,8.23,5.72,2.09,3,10,7.29,2.06,4.76,5.5,29853,67,815,44354
cypress-io_cypress,1.84,6.37,4.95,3.2,3,7.35,7.98,5.56,3.96,5.92,46110,97,2062,3897
darktable-org_darktable,5.06,6.25,6.89,3.84,3,6.1,6.2,4.27,5.55,5.41,7680,99,2462,1401
DataDog_datadog-agent,10,5.39,5.75,0.3,3,2.65,6.51,6.55,7.01,5.9,2170,67,4822,1225
dbeaver_dbeaver,1.38,5.59,8.62,0.44,3,6.87,7.91,3.89,5.14,5.66,33304,90,1014,3552
DefinitelyTyped_DefinitelyTyped,4.03,6.25,7.44,0,3,5.77,6.26,4.12,5.91,5.42,43783,99,29050,42350
demisto_content,10,5.08,6.76,1,3,2.54,3.41,6.02,7.15,5.14,973,80,6704,1770
denoland_deno,3.46,8.98,7.02,1.86,3,10,7.1,5.57,6.24,6.96,94625,59,1917,6794
department-of-veterans-affairs_va.gov-team,6.59,4.56,5.94,1.86,3,3.07,8.56,4.48,5.45,5.31,312,59,4581,233
desktop_desktop,1.26,6.04,5.46,0,3,7.4,6.95,4.95,4.25,5.63,27189,71,1077,9569
directus_directus,2.17,4.84,7.79,3.94,3,10,6.92,2.79,4.41,5.54,22078,99,1220,3444
docker_docs,3.95,3.62,6,0.13,3,5.17,7.67,3.39,4.51,4.94,4271,79,3774,8315
dotnet_aspnetcore,2.1,6.26,6.33,1.92,4,4.89,7.14,5.62,4.64,5.48,33529,99,3480,11383
